   trot                 vi.&n.(马)小跑，慢跑
   acknowledge          vt.承认；告知收到
   fluctuate            vi.波动 vt.使波动
   orchard              n.果园
   merciful             a.仁慈的，宽大的
   fascinate            vt.迷住 vi.迷人
   estate               n.房地产；财产，产业
   valve                n.阀，阀门；电子管
   violation            n.违犯；侵犯，妨碍
   reign                n.朝代
   pest                 n.害虫；害人虫
   solidarity           n.团结；休戚相关
   noted                a.著名的，知名的
   proceeding           n.程序，行动，事项
   irrigation           n.灌溉；冲洗法
   integrate            vt.使结合，使并入
   rectangle            n.矩形，长方形
   tyrant               n.暴君；专制君主
   forward              ad.向前，将来vt.转递
   ranch                n.(北美洲的)大牧场
   grumble              vi.抱怨，发牢骚
   sink                 n.(厨房内的)洗涤槽
   pious                a.虔诚的；虔奉宗教的
   blast                n.管乐器的声音
   consistent           a.前后一致的，连贯的
   drastic              a.激烈的；严厉的
   symmetry             n.对称(性)，匀称
   engage               vt.使(齿轮等)啮合
   distort              vt.歪曲，曲解，扭曲
   scandal              n.丑事，丑闻；耻辱
   blue                 a.伤心的；下流的
   applause             n.喝彩；夸奖，称赞
   gigantic             a.巨大的；巨人似的
   allowance            n津贴，补助费
   fortress             n.堡垒，要塞
   follow               vt.从事(职业)，经营
   eloquence            n.雄辩；口才，修辞
