   obedience            n.服从，顺从；管辖
   lily                 n.百合，百合花，睡莲
   striking             a.显著的，惊人的
   edit                 vt.编辑，编纂；校订
   can                  vt.装罐头
   embroidery           n.绣花，刺绣；绣制品
   thrash               vt.痛打，鞭打 vi.打
   revive               vt.&vi.苏醒；复兴
   supersonic           a.超声的，超声速的
   stagger              vi.蹒跚 vt.使摇晃
   expedition           n.探险；探险队
   cite                 vt.引用，引证；举例
   cylinder             n.圆筒；柱(面)；汽缸
   bull                 n.买空的证券投机商
   abolish              vt.废除，取消
   perfect              vt.使熟练，使改善
   denounce             vt.谴责，声讨；告发
   editorial            n.社论，期刊的社论
   catalyst             n.催化剂；刺激因素
   support              vt.经受，承受，忍受
   preach               vt.说教，布道；鼓吹
   stall                n.货摊，书摊；厩
   sensible             a.明显的，感觉得到的
   plastic              a.塑料的；塑性的
   normalization        n.正常化，标准化
   glider               n.滑翔机；滑翔导弹
   grim                 a.冷酷无情的，严厉的
   location             n.定位，测位；测量
   geology              n.地质学；(某地)地质
   vulgar               a.粗俗的，庸俗的
   lease                n.租约，契约，租契
   blaze                vt.使燃烧 vi.燃烧
   incidentally         ad.附带地；顺便提及
   ear                  n.(稻麦等的)穗
   realistic            a.现实的；现实主义的
   geometrical          a.几何学的
   theatre              n.戏剧效果
   mercury              n.汞，水银；水银柱
   grove                n.林子，小树林，园林
   humanity             n.人类；人性，人情
   freshen              vt.使显得新鲜
   facilitate           vt.使容易；助长
   purify               vt.提纯，精炼(金属)
   parameter            n.参(变)数；参量
   heighten             vt.加高，提高；增加
   perch                n.(禽鸟的)栖木
   gangster             n.匪徒，歹徒，暴徒
   mixer                n.混合者，搅拌器
   suppress             vt.镇压；抑制；隐瞒
   skeleton             n.骨骼，骷髅；骨架
   comedy               n.喜剧；喜剧场面
   between              ad.当中，中间
   combustion           n.燃烧；氧化；骚动
   escort               n.&vt.护卫，护送
   triumphant           a.得胜的；得意洋洋的
   wharf                n.码头，停泊所
   pyjamas              n.(宽大的)睡衣裤
   perpendicular        a.垂直的 n.垂直(线)
   sweeten              vt.使变甜 vi.变甜
   handy                a.方便的；便于使用的
   endeavor             vi.&n.努力，尽力
   flexible             a.灵活的，可变通的
   stability            n.坚定
   combat               vt.跟…战斗 vi.格斗
   melody               n.旋律，曲调；歌曲
   grunt                vi.作呼噜声；咕哝
   row                  n.吵嚷，吵架，口角
   monstrous            a.可怕的；极大的
   echo                 vt.反射(声音等)
   clamp                n.夹子 vt.夹住，夹紧
   glorify              vt.赞美(上帝)；颂扬
   calibration          n.校准；标定，刻度
   ripple               n.涟漪，细浪，波纹
   mingle               vt.使混合vi.混合起来
   recognition          n.认出，识别；重视
   murmur               n.低沉连续的声音
   coward               a.懦怯的，胆小的
   even                 a.同一日期的
   confront             vt.使面对；使对证
   appreciation         n.欣赏；鉴别；感激
   mess                 vt.弄脏，弄乱，搞糟
   tilt                 vt.&vi.(使)倾斜
   entreat              vt.&vi.恳求
   resemblance          n.相似，相似性
   photoelectric        a.光电的
   persuasion           n.劝说，说服；主张
   evil                 n.邪恶，罪恶；祸害
   chatter              vi.&n.喋喋不休
   exploration          n.考察；勘探；探查
   comply               vi.应允，遵照，照做
   dependant            n.受赡养者；侍从
   notorious            a.臭名昭著的
   proficiency          n.熟练，精通
   cutter               n.用于切割的器械
   reveal               vt.告诉，揭示，泄露
   shorthand            n.速记，速记法
   petty                a.细小的；器量小的
   dry                  a.干巴巴的，枯燥的
   tropic               n.热带地区；回归线
   symphony             n.交响乐；交响乐团
   persist              vi.持续，存留
   console              n.悬臂，肘托；控制台
   spice                n.香料，调味品；香气
   leaflet              n.传单，活页；广告
   hush                 n.沉默 int.嘘！
   beam                 vi.发光，发热；微笑
   apparent             a.显然的
   exposition           n.说明，解释；陈列
   aerial               a.空气的；航空的
   humidity             n.湿气；湿度
   tempt                vt.引诱，诱惑，劝诱
   enterprise           n.艰巨的事业；事业心
   pneumatic            a.空气的；气动的
   trader               n.商人；商船
   baby                 n.一家中年龄最小的人
   windy                a.多风的，刮风的
   guitar               n.吉他，六弦琴
   doubtless            ad.无疑地；很可能
   seaside              n.海滨(胜地)；海边
   outcome              n.后果，成果
   elemental            a.基本的；自然力的
   weaver               n.织布工，编织者
   prudent              a.谨慎的；精明的
   net                  vt.用网捕；用网覆盖
   fake                 n.假货，膺品 a.假的
   pertinent            a.恰当的；有关的
   applaud              vt.喝彩；欢呼vi.欢呼
   lever                n.途径，工具，手段
   impulse              n.推动，冲力；冲动
   check                n.支票，帐单
   electrician          n.电工，电气技师
   dismay               n.惊慌，沮丧，灰心
   oyster               n.牡蛎；沉默寡言的人
   vault                n.拱顶；地下室，地窖
   modulate             vt.调整，调节(声音)
   cuckoo               n.杜鹃，布谷鸟
   bank                 vi.把钱存入银行
   line                 vt.加衬里于
   proper               a.合乎体统的，正派的
   profitable           a.有利的；有益的
   quantitative         a.量的；定量的
